Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
46,1,0.000249199985205451,0.000776399954856439,02D,0,1,E,72 B9 AC 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 96 5B 34 C6 00 00 00 00 00 00 00 00 00 00,01 BF 06,0,1,1,1,4,0,0,1,0
46,2,0.000782399953550339,0.00116239993194032,219,0,1,D,39 0F 00 15 F5 86 A6 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 92 E9 2C 76 00 00 00 00 00 00 00,01 C8 B1,0,1,1,1,2,0,0,1,0
46,3,0.00241039985689895,0.00312479981543621,18E19490,0,1,F,03 00 00 97 01 97 01 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2 0C AF 0F 00 E4 0C 00 00 00 00 00 00 54 DA 05 D0 16 D2 0C C4 09 00 13 11 00 15 05 15 00 00,08 52 84,0,1,1,1,1,1,1,1,0
46,4,0.00470679972056587,0.00508519969905084,217,0,1,D,39 13 00 15 3F A3 2E 00 A0 00 00 01 50 0F 20 F3 FF FF FF FF FF 92 47 7D 86 00 00 00 00 00 00 00,1C 71 51,0,1,1,1,0,0,0,1,0
46,5,0.0103071993880803,0.0104631993798875,227,0,1,8,00 80 00 04 21 17 8B 00,0 E1 77,0,1,1,1,7,1,0,1,0
46,6,0.0123711992655444,0.0127471992442906,220,0,1,D,39 10 00 16 62 AB 2E AE 2A 0A FA DC A0 00 28 00 00 00 00 00 FF FF 92 59 DB 99 00 00 00 00 00 00,1A A0 AF,0,1,1,1,5,1,0,1,0
46,7,0.0155431990772286,0.0160595990475207,219,0,1,E,39 0E 00 20 BF F1 A7 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 93 8A C8 70 00 00 00 00 00 00 00 00 00 00 00 00,01 60 A6,0,1,1,1,2,0,0,1,0
46,8,0.0202595987972245,0.0207867987668755,02D,0,1,E,6D B0 AD 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 98 2F 5E 39 00 00 00 00 00 00 00 00 00 00,01 6F F6,0,1,1,1,4,0,0,1,0
46,9,0.0207927987655694,0.0211719987440069,219,0,1,D,39 0F 00 15 17 96 A7 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 94 E7 89 28 00 00 00 00 00 00 00,0A F0 28,0,1,1,1,1,1,0,1,0
46,10,0.0251959985041594,0.0253551984956579,079,0,1,8,28 56 0A 00 06 48 18 30,0 84 C9,0,1,1,1,0,0,0,1,0
46,11,0.0259751984578998,0.026350398436456,217,0,1,D,39 13 00 15 F9 1B 2F 01 A0 00 00 01 50 0F 20 F3 FF FF FF FF FF 94 BC D6 64 00 00 00 00 00 00 00,0E E9 84,1,1,1,0,7,1,0,1,0
46,12,0.032352398079297,0.0327275980578532,220,0,1,D,39 10 00 16 A3 49 2F AE 2A 0A FA DC 9C 00 28 00 00 00 00 00 FF FF 94 C7 50 66 00 00 00 00 00 00,09 E5 54,1,1,1,0,6,0,0,1,0
46,13,0.0327355980565471,0.0334567980147994,18E19490,0,1,F,04 03 00 03 00 03 00 D2 37 EE 0C 27 00 22 01 F9 00 08 06 01 01 01 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,12 01 2C,0,1,1,1,0,0,1,1,0
46,14,0.0348907979285968,0.0350791979183618,227,0,1,9,41 00 05 08 00 80 03 43 CB 61 98 60,0 F5 3B,0,1,1,1,7,1,0,1,0
46,15,0.0355671978884402,0.0360823978588036,219,0,1,E,39 0E 00 20 D2 3A A8 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 95 B4 11 87 00 00 00 00 00 00 00 00 00 00 00 00,1B 15 30,0,1,1,1,1,1,0,1,0
46,16,0.0393103976662132,0.0394203976606327,068,0,0,1,04,37 77,0,1,1,1,,,0,,
46,17,0.0402847976083649,0.0408107975780871,02D,0,1,E,4C AB AE 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 9A 11 E1 E1 00 00 00 00 00 00 00 00 00 00,1B 21 D5,0,1,1,1,3,1,0,1,0
46,18,0.040816797576781,0.0409711975685645,212,0,1,8,39 04 06 04 C0 2B 8C 84,0 61 F3,0,1,1,1,5,1,0,1,0
46,19,0.0409771975672584,0.0413591975456484,219,0,1,D,39 0F 00 15 A9 63 A8 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 96 E4 08 17 00 00 00 00 00 00 00,00 A5 12,0,1,1,1,4,0,0,1,0
46,20,0.044629597350422,0.0450087973288595,217,0,1,D,39 13 00 15 62 58 30 00 A0 00 00 01 50 0F 20 F3 FF FF FF FF FF 96 2D 18 38 00 00 00 00 00 00 00,05 BC 07,0,1,1,1,1,1,0,1,0
46,21,0.0523407968926222,0.0527171968712259,220,0,1,D,39 10 00 16 B3 13 30 AE 2A 0A FA DC 9C 00 28 00 00 00 00 00 FF FF 96 72 AB E3 00 00 00 00 00 00,10 29 D9,0,1,1,1,5,1,0,1,0
46,22,0.0548931967410908,0.055080396730927,227,0,1,9,41 00 05 08 01 CB 34 5B 47 02 9D 63,1 E6 67,0,1,1,1,6,0,0,1,0
46,23,0.055618396698037,0.0561323966684717,219,0,1,E,39 0E 00 20 46 1E A9 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 97 37 7A 73 00 00 00 00 00 00 00 00 00 00 00 00,0E 50 DA,0,1,1,1,0,0,0,1,0
46,24,0.0602483964231624,0.0607743963930034,02D,0,1,E,53 A2 AF 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 9C 53 A3 55 00 00 00 00 00 00 00 00 00 00,05 4C 84,0,1,1,1,3,1,0,1,0
46,25,0.0607803963915785,0.0611615963698973,219,0,1,D,39 0F 00 15 4B 73 A9 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 99 EF E8 7C 00 00 00 00 00 00 00,0E 34 41,0,1,1,1,3,1,0,1,0
46,26,0.0624315962935498,0.0631419962523245,18E19490,0,1,F,00 00 00 A5 00 00 00 50 01 00 00 00 00 00 00 00 00 00 00 1A 5A 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 4A 4B EA 00 E8 00 17 01 FD 00 F4 00 F6 00 4A 4A 4A 44 01 13 11 00 15 05 15 00 00,0C EB 8E,0,1,1,1,5,1,1,1,0
46,27,0.0648019961528234,0.0651811961312609,217,0,1,D,39 13 00 15 91 5C 31 FF 9F 00 00 01 50 0F 20 F3 FF FF FF FF FF 98 A0 03 2D 00 00 00 00 00 00 00,1F B6 34,0,1,1,1,1,1,0,1,0
46,28,0.0651871961299548,0.0658623960908193,212,0,1,F,39 04 0C 05 0E 0F F4 FF FF 39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF 39 15 01 14 3E 23 92 01 F8 5F F5 FF FF FF FF FE 07 00 9F 28 01 FE FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,08 70 8E,0,1,1,1,1,1,0,1,0
46,29,0.0658687960894895,0.0660559960792069,227,0,1,9,39 04 22 08 00 39 86 7E 78 0A FA FF,1 5C 1C,1,1,1,0,0,0,0,1,0
46,30,0.0701559958349662,0.0708091957970181,212,0,1,F,39 0C 08 3C FE 74 00 80 00 00 08 6C 14 BF 2D 83 FF 7B DF 01 D0 01 C5 01 A0 2C E0 7C 8F B3 94 00 00 9E 85 3C 40 0B 5A D0 82 16 B4 A0 05 2D 68 CF F8 FF FF FF FF FF 00 FF C9 FF FF FF 83 3E E4 FF,00 89 A4,1,1,1,0,5,1,0,1,0
46,31,0.0723451957049974,0.0727215956836011,220,0,1,D,39 10 00 16 72 F1 31 AE 2A 0A FA DC A0 00 28 00 00 00 00 00 FF FF 98 F4 BD 6E 00 00 00 00 00 00,0F F0 23,0,1,1,1,5,1,0,1,0
46,32,0.0755515955146393,0.0760675954849552,219,0,1,E,39 0E 00 20 FA 73 AA 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 9A 8C 4C 41 00 00 00 00 00 00 00 00 00 00 00 00,13 DC 5D,0,1,1,1,2,0,0,1,0
46,33,0.0802815952338278,0.0808087952034788,02D,0,1,E,67 FC B0 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF 9E 9C 71 11 00 00 00 00 00 00 00 00 00 00,1B 30 D1,0,1,1,1,4,0,0,1,0
46,34,0.0808147952021727,0.0811939951806102,219,0,1,D,39 0F 00 15 6D 42 AA 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 9B A2 AE B7 00 00 00 00 00 00 00,1D 3F 91,0,1,1,1,1,1,0,1,0
46,35,0.0847499949685471,0.0852651949389105,217,0,1,E,39 13 00 15 B2 81 32 FF 9F 00 C0 00 50 0F 20 F3 FF FF FF FF FF 9A 7F 3C 09 39 13 01 0B 4B 00 A8 54 85 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,1D F9 2A,0,1,1,1,1,1,0,1,0
46,36,0.0852715949375806,0.0854615949272506,227,0,1,9,39 06 0B 08 00 11 11 18 00 C0 CF FF,0 19 8E,0,1,1,1,1,1,0,1,0
46,37,0.0923515945172539,0.0928655944878073,220,0,1,E,39 10 01 10 15 3F 41 30 43 00 26 52 11 9C 00 22 05 F0 FF F1 39 10 00 16 3F 19 32 AE 2A 0A FA DC A0 00 28 00 00 00 00 00 FF FF 9A D5 8C 55 00 00,10 D6 A1,0,1,1,1,7,1,0,1,0
46,38,0.0928719944863587,0.0935719944457509,18E19490,0,1,F,01 01 00 19 00 F8 00 80 0C FF 00 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 37 2B 01 20 03 00 00 02 AE 01 2C 12 00 00 02 02 C0 03 B2 2F 00 00 AC 0D 40 1F 0C 34 0F 4B 13 11 00 15 05 15 00 00,03 FF 43,0,1,1,1,3,1,1,1,0
46,39,0.0955319943284394,0.09618719429061,219,0,1,F,39 0E 01 0F 74 00 FF FF FF FF FF FF FF 0F D3 08 BC FD FF 39 0E 00 20 6E 57 AB 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 9C B2 06 A6 00 00 00 00 00 00 00 00 00,0B 48 79,0,1,1,1,5,1,0,1,0
46,40,0.100261194047675,0.100788394017326,02D,0,1,E,78 F5 B1 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF A0 11 91 35 00 00 00 00 00 00 00 00 00 00,09 7C E7,0,1,1,1,4,0,0,1,0
46,41,0.10079439401602,0.101173593994458,219,0,1,D,39 0F 00 15 8F 52 AB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 9D 4D 0D E3 00 00 00 00 00 00 00,18 2B 6D,0,1,1,1,1,1,0,1,0
46,42,0.104681993785221,0.105059993763729,217,0,1,D,39 13 00 15 55 7D 33 FF 9F 00 00 01 50 0F 20 F3 FF FF FF FF FF 9C 8B 88 9A 00 00 00 00 00 00 00,1B 10 57,0,1,1,1,0,0,0,1,0
46,43,0.105065993762423,0.10522119375404,227,0,1,8,3A 02 00 04 F4 FF FF FF,0 5B 4C,1,1,1,0,0,0,0,1,0
46,44,0.110321593450408,0.110478793442025,227,0,1,8,00 80 00 04 0C 46 8C 00,0 24 FD,0,1,1,1,0,0,0,1,0
46,45,0.112386793327801,0.112763993306357,220,0,1,D,39 10 00 16 1B B1 33 AE 2A 0A FA DC A0 00 28 00 00 00 00 00 FF FF 9C 0A 99 3C 00 00 00 00 00 00,1C B8 0C,0,1,1,1,6,0,0,1,0
46,46,0.115551593139912,0.116055993110917,219,0,1,E,39 0F 01 06 4B 85 04 60 70 05 39 0E 00 20 82 A8 AC 02 98 7F 83 1A 3F 00 80 15 4C 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 9E DD 70 A9 00 00,1E 10 6E,0,1,1,1,6,0,0,1,0
46,47,0.120255992860621,0.120785192830153,02D,0,1,E,59 EE B2 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF A2 BF C9 1F 00 00 00 00 00 00 00 00 00 00,0B 75 1F,0,1,1,1,6,0,0,1,0
46,48,0.120791192828847,0.121172392807166,219,0,1,D,39 0F 00 15 21 20 AC 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 9F 9E 19 DE 00 00 00 00 00 00 00,04 E4 03,0,1,1,1,3,1,0,1,0
46,49,0.122374392734855,0.123068392694485,18E19490,0,1,F,02 88 00 64 64 64 01 00 00 00 C4 12 49 46 00 00 00 00 00 00 E8 00 EB 00 BD 04 01 00 01 00 01 00 FF FF 00 00 4B 14 D1 05 A4 04 87 13 00 00 00 00 B2 0C 80 0C 61 0F 15 0C 13 11 00 15 05 15 00 00,09 1A 60,1,1,1,0,7,1,1,1,0
46,50,0.124936392582754,0.125125592572471,227,0,1,9,02 80 00 08 8B 65 F4 01 83 33 18 83,0 2E 03,0,1,1,1,0,0,0,1,0
46,51,0.125911592524858,0.126288792503295,217,0,1,D,39 13 00 15 4A AE 34 00 A0 00 80 01 50 0F 20 F3 FF FF FF FF FF 9E C1 68 20 00 00 00 00 00 00 00,0A 15 D8,1,1,1,0,1,1,0,1,0
46,52,0.130298792264398,0.13067319224312,227,0,1,D,41 00 05 08 00 80 03 43 CB 61 A2 31 05 00 00 0C F5 FC FF 00 00 00 00 00 A5 55 3B 2B 00 00 00 00,18 02 50,0,1,1,1,4,0,0,1,0
